fund_id,scheme_name,cagr_percent,sharpe_ratio,sortino_ratio,max_drawdown,alpha,beta
1,SBI Bluechip Fund - Regular Plan - Growth,25.8,1.2082665673727178,2.2438974471535174,-0.15012385498645334,0.87,0.89
2,SBI Bluechip Fund - Direct Plan - Growth,21.52,0.9532794968660109,1.7252743994076494,-0.118034935027643,1.78,0.87
3,SBI Small Cap Fund - Regular Plan - Growth,32.42,0.9453082575156091,1.729394993374791,-0.28706005721764555,1.23,0.89
4,SBI Small Cap Fund - Direct Plan - Growth,2.05,-0.05718662582817997,-0.0980930617101305,-0.525742211701285,1.13,1.04
5,SBI Magnum Gilt Fund - Regular Plan - Growth,5.89,-0.22657538662791588,-0.4082871943508863,-0.043287289239700974,1.6,0.22
6,HDFC Top 100 Fund - Regular Plan - Growth,2.64,-0.2015170675596694,-0.3577827875996286,-0.247344408806733,0.78,0.97
7,HDFC Top 100 Fund - Direct Plan - Growth,19.02,0.7757902498211207,1.4028950521274306,-0.15200013055606393,1.13,0.97
8,HDFC Mid-Cap Opportunities Fund - Regular - Growth,30.12,1.0936987435346308,1.9678270950436425,-0.1621720857464485,0.95,0.91
9,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.3,0.3006119210425479,0.5263641052129842,-0.2111727956013212,0.9,1.04
10,HDFC Short Term Debt Fund - Regular - Growth,4.46,-0.5670947928476847,-1.0099017532141847,-0.04308263824636346,1.98,0.44
11,ICICI Pru Bluechip Fund - Regular - Growth,18.79,0.7979728586052846,1.4320161904354787,-0.13897862823061635,0.66,0.96
12,ICICI Pru Bluechip Fund - Direct - Growth,23.3,1.0265242847993008,1.8778854992694605,-0.12588275606922514,0.88,1.03
13,ICICI Pru Midcap Fund - Regular - Growth,32.83,1.18010119766065,2.158934190036674,-0.1818851357211629,0.89,1.0
14,ICICI Pru Value Discovery Fund - Regular - Growth,17.08,0.6488787755249528,1.160264846969631,-0.1982565826298267,0.55,0.92
15,ICICI Pru Liquid Fund - Regular - Growth,7.24,0.49572339295331214,1.6464206779245891,-0.000977314004592568,1.85,0.26
16,Nippon India Large Cap Fund - Regular - Growth,24.05,1.081659179345704,1.9624875088843998,-0.17414075086657232,0.86,0.88
17,Nippon India Large Cap Fund - Direct - Growth,16.27,0.6452074382933218,1.1942512694216163,-0.1862974313859551,1.7,1.02
18,Nippon India Small Cap Fund - Regular - Growth,16.37,0.44843400890899154,0.7850245916718572,-0.2334488614483311,0.8,1.03
19,Nippon India ETF Nifty 50 BeES,15.96,0.6648569985490621,1.1991958228339208,-0.11650624505409093,1.8,1.04
20,Nippon India Gilt Securities Fund - Regular - Growth,5.32,-0.356629507514368,-0.6465086801407397,-0.08316361763638701,0.89,0.37
21,Kotak Bluechip Fund - Regular - Growth,13.53,0.49427253786723485,0.888303074109896,-0.17573614164687285,1.27,0.93
22,Kotak Emerging Equity Fund - Regular - Growth,6.7,0.07599984804658917,0.13041709374704644,-0.24003511326274882,1.91,1.0
23,Kotak Flexicap Fund - Regular - Growth,30.91,1.306743969542841,2.464498350301037,-0.1297396816518679,1.85,0.95
24,Kotak Liquid Fund - Regular - Growth,6.92,-0.08874729621557331,-0.2803852541813448,-0.0011629327956168764,1.52,0.47
25,Axis Bluechip Fund - Regular - Growth,6.37,0.03078485095458589,0.05424621840201993,-0.14401617909337266,1.41,0.91
26,Axis Bluechip Fund - Direct - Growth,7.9,0.12961449795669322,0.2277474855988622,-0.2175139637014823,1.43,0.87
27,Axis Midcap Fund - Regular - Growth,28.21,0.9982309868636403,1.8224170340416985,-0.20960883862039192,1.42,1.0
28,Axis Small Cap Fund - Regular - Growth,1.52,-0.07597357117478926,-0.1319982688828825,-0.5167775370852657,0.51,1.0
29,ABSL Frontline Equity Fund - Regular - Growth,23.54,1.0272133278753701,1.8900475049594074,-0.11291596329323078,1.34,1.03
30,ABSL Small Cap Fund - Regular - Growth,7.94,0.16266076928646783,0.28564328445391085,-0.3544691649336603,1.84,0.97
31,ABSL Liquid Fund - Regular - Growth,6.51,-0.8155673679088272,-2.447122415435048,-0.001622498024471732,1.18,0.43
32,UTI Nifty 50 Index Fund - Regular - Growth,18.23,0.817099337349437,1.49275876292257,-0.10859862152502323,0.93,0.9
33,UTI Mid Cap Fund - Regular - Growth,1.17,-0.20583160785470317,-0.35393828762049473,-0.2800112356639287,1.12,0.92
34,UTI Flexi Cap Fund - Regular - Growth,16.84,0.6195175900829826,1.1309820339581516,-0.21539827112383228,1.79,1.0
35,Mirae Asset Large Cap Fund - Regular - Growth,30.97,1.4482911703262602,2.6105634152943176,-0.1126572907502827,1.62,0.96
36,Mirae Asset Emerging Bluechip Fund - Regular - Growth,22.52,0.9262873467360143,1.6924325645399247,-0.1527259422823477,1.7,0.99
37,Mirae Asset Tax Saver Fund - Regular - Growth,31.95,1.2349300257743292,2.2786806187950384,-0.16396742946932633,0.54,0.98
38,DSP Top 100 Equity Fund - Regular - Growth,13.39,0.46403744922047735,0.8138624028763634,-0.14844576917771746,1.82,0.91
39,DSP Midcap Fund - Regular - Growth,29.58,1.1321218524747254,2.0124133750773128,-0.17248105753451382,1.02,0.98
40,DSP Small Cap Fund - Regular - Growth,32.29,0.949795824661604,1.7161326655110034,-0.3117190030063422,0.69,0.98
